U1,U2
0.8142905077954163,-0.2829816936429342
-0.5570047034545642,-0.22187427895353673
0.041432674539904735,-0.27107437781463756
0.9991203279271406,-0.001757216813300988
-0.8367233243152594,-0.5924597721767667
-0.18926749628912387,-0.17110177343856642
0.5220711554754556,-0.43688032846769753
-0.3332005197874559,-0.14814817019510285
0.3984306999652947,-0.4256524182896151
-0.8603514107481154,-0.6417114609342702
-0.3827048481833131,-0.15131542660854017
0.0729995106278063,-0.28744297827541876
-0.7379616507006455,-0.4190506392344939
0.06585424295508036,-0.2837257213559635
0.36449670656570565,-0.4170365671198146
0.40276209251975303,-0.4266003915845802
0.45490305685327304,-0.43504954734778
0.747600630844107,-0.34568798730757244
0.6675352741603144,-0.39771252340776664
-0.7874735613439754,-0.49961573201500253
-0.09708694972310727,-0.2047281236206062
-0.12921080298460197,-0.191725686533915
0.35704627069003236,-0.41487665844582416
0.6149944072335836,-0.4194497047634624
0.06475913158156077,-0.2831564187793272
0.15108516943673078,-0.327800486692712
-0.9578002886499462,-0.8791133668675367
0.3590515833979526,-0.41546707535851657
-0.4772400591232073,-0.17701476566315943
-0.9406654244224786,-0.8332293039853373
0.9685853966451086,-0.060146296482997075
0.28077011163257115,-0.3879593908196965
-0.18558448757679424,-0.17220998378279026
-0.19254897315797792,-0.17013306398199118
-0.6103628505206884,-0.26534056808632406
0.14289497167760046,-0.3236344605128617
0.4163727306012073,-0.42934294876285956
-0.5873290951630972,-0.24517670065681496
-0.9518792202494599,-0.8630519625086963
-0.8312489469420337,-0.5814913141428124
-0.48355677816322595,-0.1797471073734381
-0.030808714644777746,-0.23486217982232682
-0.7594696623396677,-0.45252138285508026
0.9572090937248627,-0.08062474577356427
0.18873987733956676,-0.34655219217120925
-0.221513739695961,-0.16237952517218288
-0.2734149979289813,-0.1524207875729222
0.06384940297770991,-0.2826835902391759
0.7555444964264468,-0.33918344332645856
0.25017453644860743,-0.3750763444594629
